,company_name,location,notice_date,layoff_date,employees_affected,Industry
1109,Atlantis Plastics (1121 Herman Street),Elkhart,08/17/2008,10/31/2008,20,Plastics Manufacturing
1110,Atlantis Plastics (2965 La Vanture Place),Elkhart,08/17/2008,10/37/2008,78,Plastics Manufacturing
1111,Atlantis Plastics (54500 Country Road 3),Elkhart,08/17/2008,10/31/2008,72,Plastics Manufacturing
1112,Parsons,Newport,08/15/2008,08/23/2008-2010,412,Radioactive Material Disposal
1113,Trellborg Automotive,Peru,08/12/2008,10/08/2008,180,Engine Parts Manufacturing
1114,Sundowner Trailers,Elkhart,08/01/2008,10/03/2008,80,Motor Home Manufacturing
1115,GECOM Corp,North Vernon,07/20/2008,9/28/2008,136,Engine Parts Manufacturing
1116,Monaco Coach,Elkhart & Nappanee,07/17/2008,9/17/2008,1430,Motor Home Manufacturing
1117,Republic Airways,Indianapolis,07/14/2008,9/10/2008,500 Nationwide,Air Transportation
1118,"American Airlines, Inc.",Indianapolis,07/14/2008,9/05/2008,4,Air Transportation
1119,"Mitsubishi Heavy Equipment Climate Control, Inc",Franklin,07/10/2008,9/12/2008,60,Manufacturing
